Tavole di mortalità della popolazione residente - Ripartizione: Italia - Femmine - Anno: 2013
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;272;2,72310;99744;0,9997433;84,763
1;99728;19;0,19122;99718;0,9998327;83,993
2;99709;14;0,14336;99701;0,9998738;83,009
3;99694;11;0,10909;99689;0,9999026;82,021
4;99683;9;0,08573;99679;0,9999179;81,030
5;99675;8;0,07844;99671;0,9999221;80,037
6;99667;8;0,07737;99663;0,9999276;79,043
7;99659;7;0,06742;99656;0,9999327;78,049
8;99653;7;0,06718;99649;0,9999338;77,054
9;99646;6;0,06513;99643;0,9999363;76,060
10;99639;6;0,06229;99636;0,9999371;75,065
11;99633;6;0,06358;99630;0,9999314;74,069
12;99627;7;0,07363;99623;0,9999214;73,074
13;99620;8;0,08353;99615;0,9999081;72,079
14;99611;10;0,10036;99606;0,9998938;71,085
15;99601;11;0,11195;99596;0,9998818;70,092
16;99590;12;0,12444;99584;0,9998706;69,100
17;99578;13;0,13433;99571;0,9998596;68,109
18;99564;15;0,14641;99557;0,9998493;67,118
19;99550;15;0,15503;99542;0,9998419;66,127
20;99534;16;0,16114;99526;0,9998369;65,138
21;99518;16;0,16515;99510;0,9998298;64,148
22;99502;17;0,17521;99493;0,9998246;63,159
23;99484;17;0,17550;99476;0,9998228;62,169
24;99467;18;0,17889;99458;0,9998187;61,180
25;99449;18;0,18374;99440;0,9998164;60,191
26;99431;18;0,18341;99422;0,9998154;59,202
27;99413;18;0,18574;99403;0,9998050;58,213
28;99394;20;0,20435;99384;0,9997874;57,224
29;99374;22;0,22087;99363;0,9997699;56,235
30;99352;24;0,23942;99340;0,9997509;55,248
31;99328;26;0,25873;99315;0,9997287;54,261
32;99302;28;0,28397;99288;0,9997019;53,275
33;99274;31;0,31218;99259;0,9996708;52,290
34;99243;34;0,34629;99226;0,9996404;51,306
35;99209;37;0,37294;99190;0,9996127;50,323
36;99172;40;0,40163;99152;0,9995844;49,342
37;99132;43;0,42967;99111;0,9995491;48,362
38;99089;47;0,47205;99066;0,9995042;47,382
39;99043;51;0,51959;99017;0,9994538;46,404
40;98991;57;0,57287;98963;0,9993956;45,428
41;98935;63;0,63588;98903;0,9993282;44,454
42;98872;70;0,70775;98837;0,9992474;43,482
43;98802;79;0,79743;98762;0,9991476;42,512
44;98723;90;0,90738;98678;0,9990464;41,546
45;98633;99;0,99982;98584;0,9989521;40,583
46;98535;108;1,09605;98481;0,9988558;39,623
47;98427;117;1,19235;98368;0,9987572;38,666
48;98309;127;1,29335;98246;0,9986492;37,712
49;98182;138;1,40826;98113;0,9984845;36,760
50;98044;159;1,62292;97964;0,9982759;35,811
51;97885;179;1,82540;97795;0,9981159;34,868
52;97706;190;1,94283;97611;0,9979766;33,931
53;97516;205;2,10404;97414;0,9978322;32,996
54;97311;217;2,23176;97203;0,9976707;32,065
55;97094;236;2,42715;96976;0,9974175;31,135
56;96858;265;2,73827;96726;0,9971427;30,210
57;96593;288;2,97666;96449;0,9969548;29,292
58;96306;300;3,11390;96156;0,9967447;28,378
59;96006;326;3,39709;95843;0,9964256;27,465
60;95679;359;3,75229;95500;0,9960452;26,557
61;95320;396;4,15801;95122;0,9955771;25,655
62;94924;445;4,68890;94702;0,9950579;24,760
63;94479;491;5,19650;94234;0,9945264;23,874
64;93988;541;5,75220;93718;0,9940790;22,996
65;93447;569;6,09076;93163;0,9936803;22,126
66;92878;608;6,55001;92574;0,9932557;21,259
67;92270;640;6,93981;91950;0,9926335;20,396
68;91630;714;7,79608;91272;0,9918297;19,535
69;90915;777;8,54750;90527;0,9907468;18,684
70;90138;898;9,96488;89689;0,9895285;17,841
71;89240;980;10,98327;88750;0,9884562;17,016
72;88260;1069;12,11051;87725;0,9873286;16,199
73;87191;1154;13,23919;86614;0,9861169;15,391
74;86037;1251;14,53564;85411;0,9845779;14,591
75;84786;1384;16,32158;84094;0,9824778;13,799
76;83402;1563;18,74275;82621;0,9798235;13,020
77;81839;1771;21,63765;80954;0,9766523;12,259
78;80068;2009;25,09553;79063;0,9731015;11,519
79;78059;2244;28,74790;76937;0,9688889;10,803
80;75815;2543;33,54419;74543;0,9640065;10,107
81;73272;2823;38,52785;71860;0,9588542;9,441
82;70449;3090;43,86871;68903;0,9528642;8,799
83;67358;3405;50,55281;65656;0,9457326;8,180
84;63953;3721;58,17978;62093;0,9374675;7,589
85;60232;4045;67,15403;58210;0,9278293;7,027
86;56187;4357;77,54855;54009;0,9170750;6,497
87;51830;4600;88,75352;49530;0,9057089;6,001
88;47230;4740;100,36808;44860;0,8923275;5,537
89;42490;4920;115,79176;40030;0,8763535;5,099
90;37570;4979;132,52988;35080;0,8611560;4,701
91;32591;4762;146,12280;30209;0,8493206;4,342
92;27828;4342;156,01575;25658;0,8372650;4,000
93;23487;4009;170,69635;21482;0,8192801;3,647
94;19478;3755;192,80662;17600;0,7900101;3,295
95;15722;3636;231,27764;13904;0,7533145;2,962
96;12086;3224;266,72901;10474;0,7235207;2,703
97;8862;2568;289,77633;7578;0,7025919;2,505
98;6294;1940;308,15358;5324;0,6832068;2,323
99;4355;1434;329,28089;3638;0,6580315;2,134
100;2921;1054;360,88494;2394;0,6204683;1,937
101;1867;763;408,70751;1485;0,5792810;1,748
102;1104;487;441,03288;860;0,5471720;1,610
103;617;292;473,92961;471;0,5146294;1,486
104;325;165;507,11871;242;0,4819234;1,375
105;160;86;540,30893;117;0,4493302;1,275
106;74;42;573,20843;52;0,4171236;1,185
107;31;19;605,52894;22;0,3855678;1,105
108;12;8;637,00238;8;0,3549055;1,034
109;4;3;667,38688;3;0,3253545;0,970
110;1;1;696,46856;1;0,2971037;0,914
111;0;0;724,07263;0;0,2703063;0,864
