Tavole di mortalità della popolazione residente - Ripartizione: Italia - Maschi - Anno: 2013
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;329;3,28560;99691;0,9996759;80,034
1;99671;26;0,25930;99659;0,9997820;79,296
2;99646;18;0,17672;99637;0,9998498;78,316
3;99628;12;0,12363;99622;0,9998915;77,330
4;99616;9;0,09327;99611;0,9999093;76,340
5;99606;9;0,08820;99602;0,9999109;75,347
6;99598;9;0,08993;99593;0,9999104;74,353
7;99589;9;0,08928;99584;0,9999124;73,360
8;99580;9;0,08591;99575;0,9999147;72,366
9;99571;8;0,08460;99567;0,9999162;71,373
10;99563;8;0,08302;99559;0,9999139;70,379
11;99554;9;0,08921;99550;0,9999053;69,384
12;99546;10;0,10016;99541;0,9998895;68,391
13;99536;12;0,12083;99530;0,9998619;67,397
14;99524;15;0,15536;99516;0,9998215;66,405
15;99508;20;0,20172;99498;0,9997664;65,416
16;99488;26;0,26558;99475;0,9997055;64,429
17;99462;32;0,32345;99446;0,9996445;63,446
18;99429;39;0,38748;99410;0,9995903;62,466
19;99391;43;0,43195;99369;0,9995580;61,490
20;99348;45;0,45210;99326;0,9995441;60,517
21;99303;46;0,45973;99280;0,9995335;59,544
22;99257;47;0,47317;99234;0,9995174;58,571
23;99211;49;0,49200;99186;0,9994939;57,598
24;99162;52;0,52023;99136;0,9994758;56,626
25;99110;52;0,52810;99084;0,9994730;55,656
26;99058;52;0,52586;99032;0,9994753;54,685
27;99006;52;0,52358;98980;0,9994755;53,713
28;98954;52;0,52537;98928;0,9994721;52,741
29;98902;52;0,53036;98876;0,9994561;51,769
30;98849;55;0,55749;98822;0,9994340;50,796
31;98794;57;0,57454;98766;0,9994120;49,824
32;98738;59;0,60152;98708;0,9993833;48,852
33;98678;62;0,63186;98647;0,9993424;47,881
34;98616;67;0,68333;98582;0,9993059;46,911
35;98548;69;0,70492;98514;0,9992671;45,943
36;98479;75;0,76099;98441;0,9992212;44,975
37;98404;78;0,79666;98365;0,9991720;44,009
38;98326;84;0,85929;98283;0,9991167;43,044
39;98241;89;0,90727;98197;0,9990479;42,080
40;98152;98;0,99691;98103;0,9989588;41,118
41;98054;106;1,08548;98001;0,9988635;40,159
42;97948;116;1,18752;97890;0,9987572;39,202
43;97831;127;1,29812;97768;0,9986170;38,248
44;97704;143;1,46790;97633;0,9984612;37,297
45;97561;157;1,60973;97482;0,9982967;36,351
46;97404;175;1,79694;97316;0,9981215;35,409
47;97229;191;1,96020;97134;0,9979427;34,471
48;97038;209;2,15467;96934;0,9977416;33,538
49;96829;229;2,36237;96715;0,9975034;32,610
50;96600;254;2,63106;96473;0,9972249;31,686
51;96346;281;2,91957;96206;0,9969316;30,768
52;96065;309;3,21774;95910;0,9966206;29,856
53;95756;339;3,54162;95586;0,9962842;28,951
54;95417;371;3,89051;95231;0,9958873;28,052
55;95046;412;4,33568;94839;0,9953951;27,160
56;94633;461;4,87537;94403;0,9949110;26,276
57;94172;499;5,30369;93922;0,9944416;25,402
58;93673;545;5,81446;93400;0,9939431;24,535
59;93128;587;6,30083;92835;0,9933346;23,676
60;92541;651;7,03232;92216;0,9925599;22,823
61;91890;721;7,85070;91530;0,9916688;21,981
62;91169;804;8,81560;90767;0,9908526;21,151
63;90365;857;9,48220;89937;0,9899727;20,334
64;89508;947;10,57769;89035;0,9891380;19,524
65;88562;987;11,14929;88068;0,9883290;18,728
66;87574;1068;12,19855;87040;0,9871255;17,933
67;86506;1173;13,55872;85920;0,9855814;17,148
68;85333;1305;15,29038;84681;0,9839597;16,377
69;84028;1412;16,80181;83322;0,9820129;15,624
70;82616;1586;19,19257;81824;0,9799354;14,882
71;81031;1698;20,95368;80182;0,9781982;14,164
72;79333;1798;22,66801;78434;0,9763296;13,456
73;77535;1915;24,69606;76577;0,9744103;12,757
74;75620;2004;26,50588;74618;0,9721363;12,067
75;73615;2154;29,25839;72539;0,9689254;11,382
76;71462;2354;32,94555;70284;0,9647398;10,710
77;69107;2602;37,65366;67806;0,9598421;10,058
78;66505;2844;42,76021;65083;0,9543427;9,432
79;63661;3099;48,68380;62112;0,9479625;8,831
80;60562;3365;55,56284;58880;0,9410262;8,257
81;57197;3580;62,58550;55407;0,9341965;7,713
82;53617;3712;69,23629;51761;0,9265990;7,195
83;49905;3886;77,87555;47962;0,9176342;6,693
84;46019;4014;87,23524;44011;0,9070458;6,216
85;42004;4168;99,21978;39920;0,8943174;5,762
86;37837;4270;112,85735;35702;0,8807666;5,342
87;33566;4243;126,42055;31445;0,8675129;4,958
88;29323;4089;139,43155;27279;0,8526883;4,603
