Tavole di mortalità della popolazione residente - Ripartizione: Centro - Femmine - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;236;2,35614;99778;0,9997719;85,177
1;99764;18;0,17758;99756;0,9998503;84,377
2;99747;12;0,12184;99741;0,9998918;83,392
3;99735;9;0,09454;99730;0,9999109;82,402
4;99725;8;0,08365;99721;0,9999142;81,410
5;99717;9;0,08786;99712;0,9999121;80,417
6;99708;9;0,08786;99704;0,9999141;79,424
7;99699;8;0,08393;99695;0,9999163;78,431
8;99691;8;0,08356;99687;0,9999185;77,437
9;99683;8;0,07946;99679;0,9999227;76,444
10;99675;7;0,07516;99671;0,9999240;75,450
11;99667;8;0,07693;99663;0,9999214;74,455
12;99659;8;0,08020;99655;0,9999192;73,461
13;99651;8;0,08134;99647;0,9999124;72,467
14;99643;9;0,09383;99639;0,9999013;71,473
15;99634;10;0,10354;99629;0,9998909;70,479
16;99624;11;0,11466;99618;0,9998764;69,487
17;99612;13;0,13259;99606;0,9998580;68,495
18;99599;15;0,15133;99592;0,9998419;67,504
19;99584;16;0,16496;99576;0,9998319;66,514
20;99568;17;0,17115;99559;0,9998326;65,525
21;99551;16;0,16358;99542;0,9998402;64,536
22;99534;16;0,15608;99526;0,9998442;63,546
23;99519;15;0,15557;99511;0,9998379;62,556
24;99503;17;0,16867;99495;0,9998224;61,566
25;99486;19;0,18662;99477;0,9998099;60,576
26;99468;19;0,19366;99458;0,9998064;59,587
27;99449;19;0,19356;99439;0,9998003;58,599
28;99429;20;0,20591;99419;0,9997859;57,610
29;99409;22;0,22227;99398;0,9997686;56,622
30;99387;24;0,24046;99375;0,9997540;55,634
31;99363;25;0,25153;99350;0,9997483;54,647
32;99338;25;0,25178;99325;0,9997366;53,661
33;99313;27;0,27507;99299;0,9997045;52,674
34;99286;31;0,31602;99270;0,9996628;51,689
35;99254;36;0,35847;99236;0,9996225;50,705
36;99219;39;0,39657;99199;0,9995841;49,723
37;99179;43;0,43528;99158;0,9995440;48,742
38;99136;47;0,47682;99112;0,9995027;47,764
39;99089;51;0,51789;99063;0,9994601;46,786
40;99037;56;0,56191;99010;0,9994145;45,810
41;98982;60;0,60911;98952;0,9993573;44,836
42;98922;67;0,67638;98888;0,9992750;43,863
43;98855;76;0,77361;98816;0,9991657;42,892
44;98778;88;0,89505;98734;0,9990547;41,925
45;98690;98;0,99563;98641;0,9989665;40,962
46;98592;106;1,07140;98539;0,9988815;40,002
47;98486;115;1,16574;98428;0,9987935;39,045
48;98371;123;1,24739;98310;0,9987062;38,089
49;98248;132;1,34030;98183;0,9985386;37,136
50;98117;155;1,58275;98039;0,9983203;36,186
51;97961;174;1,77676;97874;0,9981523;35,242
52;97787;188;1,91882;97694;0,9979906;34,304
53;97600;205;2,10011;97497;0,9978414;33,369
54;97395;216;2,21720;97287;0,9977162;32,438
55;97179;228;2,35051;97065;0,9974834;31,509
56;96950;260;2,68311;96820;0,9972081;30,582
57;96690;280;2,90094;96550;0,9969846;29,663
58;96410;302;3,13022;96259;0,9967559;28,748
59;96108;323;3,35839;95947;0,9964818;27,837
60;95785;352;3,67846;95609;0,9961145;26,929
61;95433;391;4,09323;95238;0,9956740;26,026
62;95042;433;4,55974;94826;0,9952063;25,131
63;94609;476;5,02882;94371;0,9947160;24,244
64;94133;522;5,54054;93872;0,9941876;23,364
65;93612;570;6,08572;93327;0,9937781;22,492
66;93042;592;6,35899;92746;0,9934642;21,626
67;92450;621;6,71371;92140;0,9930149;20,761
68;91829;667;7,25832;91496;0,9923683;19,898
69;91163;730;8,00786;90798;0,9914602;19,040
70;90433;821;9,07598;90023;0,9902659;18,190
71;89612;932;10,39822;89146;0,9890522;17,352
72;88680;1020;11,50323;88170;0,9878587;16,529
73;87660;1121;12,78686;87100;0,9865380;15,715
74;86539;1224;14,14592;85927;0,9850678;14,913
75;85315;1342;15,72982;84644;0,9833505;14,119
76;83973;1477;17,58395;83235;0,9812363;13,337
77;82497;1647;19,96454;81673;0,9785525;12,567
78;80850;1856;22,96060;79921;0,9752678;11,813
79;78993;2097;26,54542;77945;0,9713611;11,078
80;76896;2368;30,78949;75713;0,9664933;10,367
81;74529;2706;36,31024;73176;0,9610319;9,680
82;71823;2997;41,72611;70324;0,9553546;9,026
83;68826;3282;47,69171;67184;0,9487368;8,397
84;65543;3606;55,01356;63740;0,9410489;7,793
85;61938;3909;63,11796;59983;0,9321107;7,218
86;58028;4235;72,98216;55911;0,9214484;6,670
87;53793;4549;84,55958;51519;0,9098393;6,156
88;49244;4741;96,27918;46874;0,8972057;5,678
89;44503;4896;110,00346;42055;0,8811326;5,230
90;39608;5103;128,82689;37056;0,8620119;4,815
91;34505;5124;148,50398;31943;0,8453191;4,453
92;29381;4758;161,93510;27002;0,8341454;4,142
93;24623;4199;170,53137;22524;0,8256106;3,846
94;20424;3657;179,04064;18596;0,8130934;3,534
95;16767;3295;196,48812;15120;0,7844107;3,195
96;13473;3225;239,36140;11860;0,7472990;2,854
97;10248;2769;270,23829;8863;0,7165303;2,595
98;7479;2256;301,60079;6351;0,6860622;2,371
99;5223;1732;331,60257;4357;0,6571381;2,179
100;3491;1256;359,70707;2863;0,6303403;2,011
101;2235;861;385,20361;1805;0,6027732;1,860
102;1374;573;416,78311;1088;0,5713231;1,713
103;801;360;449,07035;622;0,5393014;1,580
104;442;213;481,80527;335;0,5069624;1,460
105;229;118;514,71335;170;0,4745689;1,352
106;111;61;547,51651;81;0,4423837;1,255
107;50;29;579,93712;36;0,4106631;1,168
108;21;13;611,71397;15;0,3796453;1,091
109;8;5;642,60830;6;0,3495462;1,022
110;3;2;672,40587;2;0,3205561;0,961
111;1;1;700,92802;1;0,2928317;0,906
112;0;0;728,03373;0;0,2664962;0,857
113;0;0;753,61676;0;0,2416407;0,814
114;0;0;777,60772;0;0,2183235;0,776
115;0;0;799,97212;0;0,1965717;0,743
116;0;0;820,70651;0;0,1763860;0,713
117;0;0;839,83051;0;0,1577452;0,686
118;0;0;857,39085;0;0,1406053;0,663
119;0;0;873,44643;0;0,1249103;0,642
