Tavole di mortalità della popolazione residente - Ripartizione: Centro - Maschi - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;281;2,80659;99736;0,9997348;80,559
1;99719;20;0,19846;99709;0,9998231;79,785
2;99700;15;0,15528;99692;0,9998620;78,800
3;99684;12;0,12068;99678;0,9998916;77,813
4;99672;10;0,09610;99667;0,9999095;76,822
5;99662;8;0,08493;99658;0,9999156;75,829
6;99654;8;0,08397;99650;0,9999164;74,836
7;99646;8;0,08330;99641;0,9999175;73,842
8;99637;8;0,08164;99633;0,9999186;72,848
9;99629;8;0,08107;99625;0,9999270;71,854
10;99621;6;0,06496;99618;0,9999327;70,860
11;99615;7;0,06956;99611;0,9999178;69,864
12;99608;9;0,09477;99603;0,9998923;68,869
13;99598;12;0,12070;99592;0,9998622;67,876
14;99586;15;0,15499;99579;0,9998268;66,884
15;99571;19;0,19144;99561;0,9997918;65,894
16;99552;22;0,22502;99541;0,9997505;64,907
17;99529;27;0,27389;99516;0,9996998;63,921
18;99502;32;0,32645;99486;0,9996405;62,938
19;99470;39;0,39257;99450;0,9995832;61,959
20;99431;44;0,44112;99409;0,9995360;60,983
21;99387;48;0,48697;99363;0,9995114;60,010
22;99338;49;0,49013;99314;0,9995079;59,039
23;99290;49;0,49414;99265;0,9995045;58,067
24;99241;49;0,49693;99216;0,9995042;57,096
25;99191;49;0,49465;99167;0,9995000;56,124
26;99142;50;0,50542;99117;0,9994906;55,151
27;99092;51;0,51347;99067;0,9994712;54,179
28;99041;54;0,54410;99014;0,9994411;53,207
29;98987;57;0,57361;98959;0,9994248;52,235
30;98931;57;0,57675;98902;0,9994284;51,265
31;98873;56;0,56640;98845;0,9994250;50,294
32;98817;58;0,58360;98789;0,9993840;49,323
33;98760;64;0,64839;98728;0,9993344;48,351
34;98696;67;0,68290;98662;0,9992809;47,382
35;98628;74;0,75525;98591;0,9992217;46,414
36;98554;79;0,80139;98514;0,9991756;45,449
37;98475;83;0,84748;98433;0,9991456;44,485
38;98391;85;0,86129;98349;0,9991047;43,522
39;98307;91;0,92935;98261;0,9990452;42,559
40;98215;96;0,98030;98167;0,9989676;41,598
41;98119;106;1,08454;98066;0,9988683;40,639
42;98013;116;1,17897;97955;0,9987767;39,682
43;97897;124;1,26774;97835;0,9986884;38,729
44;97773;133;1,35561;97707;0,9985949;37,777
45;97640;142;1,45468;97569;0,9984637;36,828
46;97498;158;1,61810;97420;0,9982908;35,881
47;97341;175;1,80041;97253;0,9980755;34,938
48;97165;199;2,04877;97066;0,9978403;34,000
49;96966;220;2,27090;96856;0,9975764;33,069
50;96746;249;2,57659;96621;0,9973189;32,143
51;96497;269;2,78595;96362;0,9970460;31,225
52;96228;300;3,12259;96078;0,9967015;30,311
53;95928;333;3,47503;95761;0,9963549;29,404
54;95594;365;3,81574;95412;0,9960196;28,505
55;95229;395;4,14572;95032;0,9955657;27,612
56;94835;448;4,72404;94611;0,9950549;26,725
57;94387;488;5,16723;94143;0,9946017;25,849
58;93899;529;5,63061;93635;0,9941461;24,981
59;93370;568;6,07849;93086;0,9937270;24,120
60;92803;600;6,46867;92502;0,9931078;23,264
61;92202;675;7,31853;91865;0,9921916;22,412
62;91528;760;8,30193;91148;0,9912356;21,574
63;90768;838;9,23066;90349;0,9903341;20,750
64;89930;909;10,10524;89475;0,9894547;19,939
65;89021;978;10,98979;88532;0,9886985;19,137
66;88043;1023;11,61664;87531;0,9880298;18,344
67;87020;1073;12,32796;86484;0,9870560;17,554
68;85947;1166;13,56772;85364;0,9855903;16,767
69;84781;1294;15,26320;84134;0,9839822;15,991
70;83487;1401;16,78403;82786;0,9819155;15,231
71;82086;1593;19,40714;81289;0,9794682;14,482
72;80493;1745;21,67869;79620;0,9775512;13,759
73;78748;1830;23,23599;77833;0,9755944;13,053
74;76918;1969;25,60296;75933;0,9733880;12,352
75;74949;2072;27,64752;73913;0,9707168;11,663
76;72877;2257;30,96533;71748;0,9668646;10,980
77;70620;2498;35,37490;69371;0,9619980;10,315
78;68122;2774;40,72537;66735;0,9572969;9,675
79;65347;2925;44,76480;63885;0,9522334;9,065
80;62422;3178;50,90899;60833;0,9459754;8,466
81;59244;3395;57,30741;57547;0,9384841;7,893
82;55849;3685;65,98030;54007;0,9298513;7,343
83;52164;3892;74,61158;50218;0,9205629;6,826
84;48272;4086;84,65171;46229;0,9107365;6,336
85;44186;4167;94,30188;42102;0,8994337;5,876
86;40019;4301;107,48297;37868;0,8855201;5,436
87;35718;4369;122,31937;33533;0,8703539;5,030
88;31349;4326;137,99403;29186;0,8558619;4,662
89;27023;4088;151,26568;24979;0,8389255;4,328
90;22935;3959;172,63151;20955;0,8182796;4,010
91;18976;3657;192,70575;17147;0,7993973;3,742
92;15319;3223;210,38472;13708;0,7879052;3,516
93;12096;2592;214,26048;10800;0,7846422;3,320
94;9504;2060;216,75442;8474;0,7748781;3,089
95;7444;1755;235,80508;6567;0,7454918;2,805
96;5689;1587;278,98241;4895;0,7075267;2,517
97;4102;1276;311,18416;3464;0,6756211;2,297
98;2825;971;343,53455;2340;0,6451724;2,109
99;1855;690;372,03040;1510;0,6173841;1,951
100;1165;465;399,47264;932;0,5917291;1,811
101;699;296;422,92180;552;0,5649452;1,683
102;404;184;456,07978;312;0,5320464;1,549
103;220;108;489,78367;166;0,4987419;1,429
104;112;59;523,74743;83;0,4653094;1,321
105;53;30;557,66831;38;0,4320344;1,225
106;24;14;591,24525;17;0,3991980;1,138
107;10;6;624,18198;7;0,3670705;1,061
108;4;2;656,20532;2;0,3358998;0,992
109;1;1;687,06412;1;0,3059095;0,931
110;0;0;716,54341;0;0,2772899;0,877
111;0;0;744,46541;0;0,2501961;0,829
112;0;0;770,69540;0;0,2247455;0,786
113;0;0;795,13664;0;0,2010211;0,749
114;0;0;817,73423;0;0,1790693;0,716
115;0;0;838,46795;0;0,1589059;0,688
116;0;0;857,35211;0;0,1405163;0,663
117;0;0;874,42638;0;0,1238635;0,641
118;0;0;889,75462;0;0,1088887;0,622
119;0;0;903,41682;0;0,0955184;0,605
