Tavole di mortalità della popolazione residente - Ripartizione: Italia - Femmine - Anno: 2010
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;291;2,91460;99726;0,9997293;84,345
1;99709;20;0,19652;99699;0,9998241;83,590
2;99689;15;0,15531;99681;0,9998619;82,607
3;99673;12;0,12083;99667;0,9998922;81,620
4;99661;9;0,09480;99657;0,9999123;80,629
5;99652;8;0,08063;99648;0,9999239;79,637
6;99644;7;0,07155;99640;0,9999279;78,643
7;99637;7;0,07255;99633;0,9999266;77,649
8;99630;7;0,07417;99626;0,9999249;76,655
9;99622;8;0,07602;99618;0,9999261;75,660
10;99615;7;0,07185;99611;0,9999263;74,666
11;99607;8;0,07545;99604;0,9999239;73,671
12;99600;8;0,07676;99596;0,9999176;72,677
13;99592;9;0,08809;99588;0,9999038;71,682
14;99584;10;0,10436;99578;0,9998863;70,689
15;99573;12;0,12310;99567;0,9998674;69,696
16;99561;14;0,14202;99554;0,9998453;68,704
17;99547;17;0,16744;99538;0,9998242;67,714
18;99530;18;0,18412;99521;0,9998135;66,725
19;99512;19;0,18891;99502;0,9998086;65,738
20;99493;19;0,19390;99483;0,9998095;64,750
21;99474;19;0,18704;99464;0,9998113;63,762
22;99455;19;0,19034;99446;0,9998110;62,774
23;99436;19;0,18760;99427;0,9998123;61,786
24;99417;19;0,18774;99408;0,9998104;60,798
25;99399;19;0,19155;99389;0,9998076;59,809
26;99380;19;0,19332;99370;0,9998005;58,820
27;99361;20;0,20573;99350;0,9997877;57,831
28;99340;22;0,21893;99329;0,9997754;56,843
29;99318;23;0,23033;99307;0,9997623;55,856
30;99295;24;0,24509;99283;0,9997428;54,868
31;99271;27;0,26928;99258;0,9997212;53,882
32;99244;29;0,28824;99230;0,9996983;52,896
33;99216;31;0,31508;99200;0,9996680;51,911
34;99185;35;0,34889;99167;0,9996427;50,927
35;99150;36;0,36563;99132;0,9996179;49,945
36;99114;39;0,39852;99094;0,9995861;48,963
37;99074;43;0,42923;99053;0,9995471;47,982
38;99032;47;0,47648;99008;0,9994954;47,003
39;98984;53;0,53280;98958;0,9994418;46,025
40;98932;58;0,58364;98903;0,9993813;45,049
41;98874;65;0,65369;98842;0,9992997;44,075
42;98809;74;0,74689;98772;0,9992044;43,104
43;98736;83;0,84441;98694;0,9991108;42,136
44;98652;92;0,93399;98606;0,9990207;41,171
45;98560;101;1,02465;98510;0,9989394;40,209
46;98459;108;1,09653;98405;0,9988422;39,250
47;98351;120;1,21911;98291;0,9987135;38,292
48;98231;133;1,35401;98165;0,9985834;37,338
49;98098;145;1,47929;98026;0,9984480;36,388
50;97953;159;1,62473;97873;0,9982968;35,441
51;97794;174;1,78189;97707;0,9981051;34,498
52;97620;196;2,00811;97522;0,9978922;33,559
53;97424;215;2,20767;97316;0,9976867;32,625
54;97209;235;2,41923;97091;0,9975034;31,696
55;96973;250;2,57418;96849;0,9973367;30,772
56;96724;266;2,75270;96591;0,9971379;29,850
57;96458;287;2,97190;96314;0,9968810;28,931
58;96171;314;3,26655;96014;0,9965927;28,016
59;95857;340;3,54855;95687;0,9963054;27,106
60;95517;367;3,84120;95333;0,9959476;26,201
61;95150;406;4,26434;94947;0,9956011;25,300
62;94744;430;4,53394;94529;0,9952856;24,406
63;94314;462;4,89561;94083;0,9948380;23,515
64;93853;510;5,42979;93598;0,9942449;22,628
65;93343;568;6,08219;93059;0,9936402;21,749
66;92775;616;6,63913;92467;0,9929223;20,879
67;92159;693;7,51927;91813;0,9921342;20,015
68;91466;751;8,21501;91091;0,9914074;19,163
69;90715;814;8,97327;90308;0,9905858;18,318
70;89901;886;9,85905;89458;0,9897128;17,479
71;89015;954;10,71961;88538;0,9887063;16,648
