Tavole di mortalità della popolazione residente - Ripartizione: Italia - Maschi - Anno: 2010
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;348;3,48075;99672;0,9996795;79,311
1;99652;23;0,22904;99641;0,9997985;78,586
2;99629;17;0,17401;99620;0,9998462;77,604
3;99612;13;0,13358;99605;0,9998799;76,617
4;99598;11;0,10657;99593;0,9998977;75,628
5;99588;10;0,09798;99583;0,9999055;74,636
6;99578;9;0,09111;99574;0,9999114;73,643
7;99569;9;0,08605;99565;0,9999160;72,649
8;99560;8;0,08200;99556;0,9999173;71,656
9;99552;8;0,08346;99548;0,9999131;70,661
10;99544;9;0,09030;99539;0,9999017;69,667
11;99535;11;0,10630;99530;0,9998864;68,674
12;99524;12;0,12082;99518;0,9998653;67,681
13;99512;15;0,14862;99505;0,9998278;66,689
14;99498;19;0,19580;99488;0,9997738;65,699
15;99478;26;0,25659;99465;0,9997013;64,712
16;99453;34;0,34073;99436;0,9996209;63,728
17;99419;42;0,41757;99398;0,9995497;62,750
18;99377;48;0,48304;99353;0,9994966;61,776
19;99329;52;0,52373;99303;0,9994586;60,805
20;99277;56;0,55917;99249;0,9994454;59,837
21;99222;55;0,55007;99194;0,9994484;58,870
22;99167;55;0,55312;99140;0,9994428;57,902
23;99112;56;0,56134;99084;0,9994331;56,934
24;99057;57;0,57245;99028;0,9994232;55,966
25;99000;58;0,58124;98971;0,9994109;54,997
26;98942;59;0,59696;98913;0,9994012;54,029
27;98883;59;0,60071;98854;0,9993895;53,061
28;98824;61;0,62025;98793;0,9993574;52,093
29;98763;66;0,66505;98730;0,9993262;51,125
30;98697;67;0,68265;98663;0,9993078;50,158
31;98630;69;0,70167;98595;0,9992927;49,192
32;98560;70;0,71288;98525;0,9992764;48,226
33;98490;72;0,73436;98454;0,9992604;47,260
34;98418;73;0,74495;98381;0,9992344;46,295
35;98344;77;0,78617;98306;0,9992020;45,329
36;98267;80;0,80980;98227;0,9991708;44,364
37;98188;83;0,84858;98146;0,9991186;43,400
38;98104;90;0,91434;98059;0,9990409;42,436
39;98014;98;1,00382;97965;0,9989540;41,475
40;97916;107;1,08812;97863;0,9988473;40,516
41;97810;119;1,21743;97750;0,9987220;39,559
42;97690;131;1,33857;97625;0,9985960;38,607
43;97560;143;1,46957;97488;0,9984725;37,658
44;97416;154;1,58559;97339;0,9983520;36,713
45;97262;166;1,71059;97179;0,9982225;35,770
46;97096;179;1,84453;97006;0,9980559;34,831
47;96916;198;2,04389;96817;0,9978416;33,894
48;96718;220;2,27320;96608;0,9976173;32,963
49;96498;241;2,49239;96378;0,9973747;32,037
50;96258;266;2,75848;96125;0,9971098;31,115
51;95992;290;3,02227;95847;0,9968226;30,200
52;95702;319;3,33299;95543;0,9964765;29,290
53;95383;354;3,71463;95206;0,9960629;28,386
54;95029;395;4,16037;94831;0,9956350;27,490
55;94634;433;4,57039;94417;0,9952014;26,603
56;94201;474;5,02783;93964;0,9947203;25,723
57;93728;519;5,53284;93468;0,9941732;24,850
58;93209;571;6,12244;92924;0,9935041;23,986
59;92638;637;6,87156;92320;0,9927613;23,131
60;92002;700;7,60843;91652;0,9919505;22,287
61;91302;776;8,49398;90914;0,9912427;21,454
62;90526;817;9,02294;90118;0,9906348;20,634
63;89709;871;9,71065;89274;0,9897453;19,817
64;88838;960;10,80418;88358;0,9885117;19,006
65;87878;1070;12,17984;87343;0,9872015;18,208
66;86808;1165;13,42480;86225;0,9857618;17,427
67;85643;1290;15,06266;84998;0,9842689;16,657
68;84353;1384;16,40983;83661;0,9829032;15,904
69;82968;1476;17,79523;82230;0,9812886;15,161
70;81492;1601;19,64423;80692;0,9796358;14,427
71;79891;1686;21,09852;79048;0,9777515;13,706
72;78206;1832;23,42320;77290;0,9752488;12,991
73;76374;1994;26,11104;75377;0,9722035;12,290
74;74380;2196;29,52714;73281;0,9688019;11,606
75;72183;2376;32,91985;70995;0,9652390;10,944
76;69807;2559;36,66486;68527;0,9610839;10,300
77;67248;2774;41,25293;65861;0,9561226;9,673
78;64473;3005;46,61486;62971;0,9505245;9,067
79;61468;3226;52,47593;59855;0,9437334;8,486
80;58242;3510;60,26711;56487;0,9361049;7,929
81;54732;3708;67,75583;52878;0,9282484;7,405
82;51024;3880;76,03776;49084;0,9196062;6,907
83;47144;4012;85,10833;45138;0,9097602;6,434
84;43132;4134;95,84866;41065;0,8995503;5,986
85;38998;4116;105,53840;36940;0,8876881;5,568
86;34882;4182;119,88458;32791;0,8737773;5,166
87;30700;4096;133,42412;28652;0,8611242;4,801
88;26604;3862;145,16681;24673;0,8507555;4,463
89;22742;3503;154,01463;20991;0,8392285;4,136
90;19239;3247;168,75841;17616;0,8224183;3,799
91;15993;3010;188,19622;14488;0,7972528;3,468
92;12983;2865;220,67152;11550;0,7650732;3,156
93;10118;2562;253,21863;8837;0,7368414;2,908
94;7556;2089;276,46901;6511;0,7153750;2,725
95;5467;1618;295,89742;4658;0,7006418;2,575
96;3849;1171;304,27342;3264;0,6896027;2,447
97;2678;855;319,19945;2251;0,6737379;2,299
98;1823;614;336,63622;1516;0,6544328;2,143
99;1209;434;359,03049;992;0,6283557;1,976
100;775;303;391,32356;624;0,5930698;1,803
101;472;204;432,57044;370;0,5552734;1,641
102;268;125;466,14992;205;0,5219857;1,511
103;143;72;500,23851;107;0,4883303;1,394
104;71;38;534,54314;52;0,4545907;1,289
105;33;19;568,75450;24;0,4210579;1,194
106;14;9;602,56593;10;0,3880173;1,110
107;6;4;635,67651;4;0,3557428;1,035
108;2;1;667,80969;1;0,3244846;0,968
109;1;0;698,71209;0;0,2944680;0,909
110;0;0;728,16790;0;0,2658836;0,856
111;0;0;755,99961;0;0,2388861;0,810
112;0;0;782,07399;0;0,2135918;0,769
113;0;0;806,29668;0;0,1900815;0,733
114;0;0;828,61599;0;0,1683994;0,701
115;0;0;849,01552;0;0,1485579;0,674
116;0;0;867,51384;0;0,1305393;0,650
117;0;0;884,15512;0;0,1143029;0,629
118;0;0;899,00788;0;0,0997860;0,611
119;0;0;912,15669;0;0,0869113;0,595
