Tavole di mortalità della popolazione residente - Ripartizione: Mezzogiorno - Femmine - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;325;3,24872;99694;0,9996956;84,204
1;99675;22;0,22424;99664;0,9998022;83,477
2;99653;17;0,17133;99644;0,9998562;82,495
3;99636;12;0,11621;99630;0,9998987;81,509
4;99624;9;0,08635;99620;0,9999171;80,519
5;99616;8;0,07936;99612;0,9999243;79,526
6;99608;7;0,07203;99604;0,9999288;78,532
7;99600;7;0,07041;99597;0,9999322;77,537
8;99593;6;0,06519;99590;0,9999370;76,543
9;99587;6;0,06085;99584;0,9999372;75,548
10;99581;6;0,06470;99578;0,9999322;74,552
11;99574;7;0,07098;99571;0,9999247;73,557
12;99567;8;0,07963;99563;0,9999157;72,562
13;99559;9;0,08906;99555;0,9999042;71,568
14;99551;10;0,10256;99545;0,9998926;70,574
15;99540;11;0,11232;99535;0,9998807;69,582
16;99529;13;0,12634;99523;0,9998690;68,589
17;99517;13;0,13563;99510;0,9998635;67,598
18;99503;14;0,13741;99496;0,9998581;66,607
19;99489;15;0,14638;99482;0,9998546;65,616
20;99475;14;0,14442;99468;0,9998558;64,626
21;99461;14;0,14401;99453;0,9998528;63,635
22;99446;15;0,15037;99439;0,9998450;62,644
23;99431;16;0,15962;99423;0,9998365;61,653
24;99415;17;0,16734;99407;0,9998269;60,663
25;99399;18;0,17886;99390;0,9998106;59,673
26;99381;20;0,19994;99371;0,9997855;58,684
27;99361;23;0,22911;99350;0,9997685;57,695
28;99338;23;0,23398;99327;0,9997586;56,709
29;99315;25;0,24877;99303;0,9997491;55,722
30;99290;25;0,25302;99278;0,9997449;54,735
31;99265;26;0,25711;99252;0,9997350;53,749
32;99240;27;0,27287;99226;0,9997106;52,763
33;99213;30;0,30590;99197;0,9996835;51,777
34;99182;32;0,32705;99166;0,9996407;50,793
35;99150;39;0,39155;99130;0,9995712;49,809
36;99111;46;0,46612;99088;0,9995129;48,829
37;99065;50;0,50818;99040;0,9994771;47,851
38;99014;53;0,53753;98988;0,9994352;46,875
39;98961;59;0,59217;98932;0,9993847;45,900
40;98903;63;0,63844;98871;0,9993169;44,927
41;98840;72;0,72783;98804;0,9992366;43,955
42;98768;79;0,79891;98728;0,9991608;42,987
43;98689;87;0,87954;98645;0,9990829;42,021
44;98602;94;0,95470;98555;0,9990018;41,058
45;98508;103;1,04173;98456;0,9989187;40,096
46;98405;110;1,12086;98350;0,9987982;39,138
47;98295;126;1,28291;98232;0,9986469;38,181
48;98169;140;1,42334;98099;0,9985097;37,229
49;98029;153;1,55742;97953;0,9983785;36,282
50;97876;165;1,68575;97794;0,9982408;35,338
51;97711;179;1,83276;97622;0,9980934;34,396
52;97532;193;1,98068;97436;0,9978874;33,459
53;97339;219;2,24474;97230;0,9976673;32,524
54;97121;235;2,42092;97003;0,9975070;31,596
55;96885;249;2,56516;96761;0,9973489;30,672
56;96637;265;2,73717;96505;0,9971656;29,749
57;96372;283;2,93181;96231;0,9969531;28,829
58;96090;304;3,16241;95938;0,9966491;27,913
59;95786;339;3,54006;95616;0,9962371;27,000
60;95447;380;3,98647;95257;0,9957996;26,094
61;95066;420;4,41515;94857;0,9953453;25,196
62;94647;463;4,89533;94415;0,9949157;24,306
63;94183;497;5,27411;93935;0,9945169;23,423
64;93687;533;5,69311;93420;0,9940104;22,544
65;93153;586;6,28789;92860;0,9933998;21,671
66;92567;640;6,91452;92247;0,9927778;20,805
67;91927;692;7,53209;91581;0,9918942;19,946
68;91235;792;8,68384;90839;0,9908627;19,094
69;90443;868;9,59467;90009;0,9899010;18,256
70;89575;950;10,60816;89100;0,9887162;17,428
71;88625;1061;11,96677;88094;0,9873924;16,610
72;87564;1161;13,25610;86984;0,9861588;15,805
