Tavole di mortalità della popolazione residente - Ripartizione: Mezzogiorno - Maschi - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;395;3,94782;99629;0,9996415;79,566
1;99605;25;0,24958;99593;0,9997906;78,880
2;99580;17;0,16913;99572;0,9998555;77,899
3;99564;12;0,11987;99558;0,9998950;76,912
4;99552;9;0,09004;99547;0,9999126;75,922
5;99543;8;0,08468;99538;0,9999124;74,928
6;99534;9;0,09057;99530;0,9999084;73,935
7;99525;9;0,09271;99521;0,9999054;72,941
8;99516;10;0,09645;99511;0,9999051;71,948
9;99506;9;0,09337;99502;0,9999089;70,955
10;99497;9;0,08885;99493;0,9999130;69,961
11;99488;8;0,08525;99484;0,9999101;68,968
12;99480;9;0,09449;99475;0,9998940;67,974
13;99470;12;0,11745;99464;0,9998644;66,980
14;99459;15;0,15372;99451;0,9998256;65,988
15;99443;19;0,19515;99434;0,9997690;64,998
16;99424;27;0,26693;99411;0,9997117;64,010
17;99397;31;0,30978;99382;0,9996406;63,027
18;99367;41;0,40907;99346;0,9995701;62,047
19;99326;45;0,45079;99304;0,9995388;61,072
20;99281;47;0,47162;99258;0,9995389;60,099
21;99234;45;0,45067;99212;0,9995517;59,127
22;99190;44;0,44599;99168;0,9995469;58,154
23;99145;46;0,46031;99123;0,9995316;57,179
24;99100;47;0,47646;99076;0,9995220;56,206
25;99053;47;0,47947;99029;0,9995075;55,232
26;99005;50;0,50561;98980;0,9994900;54,258
27;98955;51;0,51438;98930;0,9994709;53,286
28;98904;54;0,54385;98877;0,9994395;52,313
29;98850;57;0,57717;98822;0,9994172;51,341
30;98793;58;0,58838;98764;0,9994142;50,370
31;98735;58;0,58328;98706;0,9994098;49,400
32;98678;59;0,59702;98648;0,9993849;48,428
33;98619;62;0,63310;98587;0,9993372;47,457
34;98556;68;0,69256;98522;0,9992688;46,487
35;98488;76;0,76992;98450;0,9991936;45,518
36;98412;83;0,84298;98371;0,9991299;44,553
37;98329;88;0,89733;98285;0,9990788;43,590
38;98241;93;0,94511;98195;0,9990363;42,629
39;98148;96;0,98239;98100;0,9989616;41,669
40;98052;107;1,09446;97998;0,9988306;40,709
41;97944;122;1,24449;97883;0,9986728;39,753
42;97822;138;1,40994;97753;0,9985176;38,802
43;97685;152;1,55501;97609;0,9983722;37,856
44;97533;166;1,70062;97450;0,9982307;36,915
45;97367;179;1,83818;97277;0,9980598;35,977
46;97188;198;2,04238;97089;0,9978628;35,042
47;96989;216;2,23214;96881;0,9976826;34,113
48;96773;233;2,40293;96657;0,9974749;33,188
49;96540;256;2,64765;96412;0,9972315;32,267
50;96285;278;2,88964;96146;0,9969966;31,351
51;96006;299;3,11748;95857;0,9966974;30,440
52;95707;334;3,48824;95540;0,9963340;29,534
53;95373;367;3,84429;95190;0,9959793;28,636
54;95007;399;4,19786;94807;0,9955944;27,744
55;94608;437;4,61427;94390;0,9951478;26,859
56;94171;479;5,09114;93932;0,9946519;25,981
57;93692;525;5,60641;93429;0,9941072;25,112
58;93167;576;6,18078;92879;0,9934933;24,250
59;92591;633;6,83456;92274;0,9928125;23,398
60;91958;694;7,54278;91611;0,9920496;22,556
61;91264;763;8,36103;90883;0,9912549;21,723
62;90501;826;9,13239;90088;0,9904778;20,902
63;89675;889;9,91551;89230;0,9896544;20,090
64;88786;957;10,78005;88307;0,9885245;19,286
65;87828;1070;12,17850;87294;0,9873739;18,491
66;86759;1135;13,07922;86191;0,9862896;17,713
67;85624;1229;14,35004;85010;0,9849283;16,941
68;84395;1334;15,80379;83728;0,9831289;16,180
69;83062;1491;17,95556;82316;0,9811617;15,432
70;81570;1610;19,73714;80765;0,9788264;14,705
71;79960;1810;22,63903;79055;0,9763160;13,991
72;78150;1934;24,75314;77183;0,9743230;13,304
73;76216;2029;26,62422;75201;0,9721928;12,629
74;74186;2153;29,02245;73110;0,9696261;11,960
75;72033;2288;31,76574;70889;0,9667862;11,303
76;69745;2421;34,70936;68535;0,9631962;10,657
77;67324;2624;38,97357;66012;0,9581883;10,023
78;64700;2896;44,76499;63252;0,9525983;9,409
79;61804;3100;50,16199;60254;0,9469895;8,826
80;58704;3288;56,00937;57060;0,9404198;8,266
81;55416;3511;63,36295;53660;0,9329023;7,727
82;51905;3690;71,08512;50060;0,9247819;7,216
83;48215;3841;79,66727;46294;0,9155609;6,730
84;44374;3977;89,62405;42385;0,9059403;6,269
85;40397;3997;98,93197;38399;0,8960708;5,837
86;36400;3985;109,47512;34408;0,8839072;5,423
87;32415;4004;123,52405;30413;0,8697695;5,028
88;28411;3917;137,88219;26453;0,8542965;4,666
89;24494;3791;154,77561;22598;0,8376238;4,332
90;20703;3548;171,36852;18929;0,8215741;4,034
