Tavole di mortalità della popolazione residente - Ripartizione: Nord - Femmine - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;240;2,39933;99774;0,9997596;85,447
1;99760;20;0,19702;99750;0,9998243;84,651
2;99740;15;0,15447;99733;0,9998646;83,668
3;99725;12;0,11629;99719;0,9998986;82,681
4;99713;9;0,08643;99709;0,9999231;81,690
5;99705;7;0,06742;99701;0,9999356;80,697
6;99698;6;0,06136;99695;0,9999378;79,702
7;99692;6;0,06297;99689;0,9999351;78,707
8;99686;7;0,06674;99682;0,9999338;77,712
9;99679;7;0,06563;99676;0,9999351;76,717
10;99672;6;0,06412;99669;0,9999305;75,722
11;99666;7;0,07497;99662;0,9999205;74,727
12;99659;8;0,08404;99654;0,9999166;73,733
13;99650;8;0,08274;99646;0,9999144;72,739
14;99642;9;0,08855;99638;0,9999072;71,745
15;99633;10;0,09702;99628;0,9998940;70,751
16;99624;11;0,11505;99618;0,9998742;69,758
17;99612;14;0,13648;99605;0,9998566;68,766
18;99598;15;0,15031;99591;0,9998490;67,775
19;99583;15;0,15162;99576;0,9998493;66,785
20;99568;15;0,14983;99561;0,9998452;65,796
21;99553;16;0,15977;99546;0,9998342;64,805
22;99538;17;0,17187;99529;0,9998258;63,816
23;99520;18;0,17662;99512;0,9998209;62,826
24;99503;18;0,18154;99494;0,9998204;61,837
25;99485;18;0,17758;99476;0,9998224;60,849
26;99467;18;0,17768;99458;0,9998189;59,859
27;99449;18;0,18444;99440;0,9998112;58,870
28;99431;19;0,19318;99422;0,9998002;57,881
29;99412;21;0,20640;99402;0,9997886;56,892
30;99391;22;0,21643;99381;0,9997787;55,903
31;99370;22;0,22615;99359;0,9997609;54,915
32;99347;25;0,25208;99335;0,9997337;53,928
33;99322;28;0,28056;99308;0,9997023;52,941
34;99295;31;0,31489;99279;0,9996703;51,956
35;99263;34;0,34455;99246;0,9996364;50,972
36;99229;38;0,38259;99210;0,9995940;49,989
37;99191;43;0,42950;99170;0,9995501;49,008
38;99148;47;0,47036;99125;0,9995101;48,029
39;99102;50;0,50951;99077;0,9994807;47,052
40;99051;52;0,52909;99025;0,9994465;46,075
41;98999;57;0,57791;98970;0,9993900;45,099
42;98942;64;0,64214;98910;0,9993183;44,125
43;98878;71;0,72125;98843;0,9992238;43,153
44;98807;82;0,83128;98766;0,9991280;42,184
45;98725;90;0,91285;98680;0,9990369;41,219
46;98635;100;1,01345;98585;0,9989359;40,256
47;98535;110;1,11482;98480;0,9988333;39,296
48;98425;120;1,21867;98365;0,9987416;38,340
49;98305;128;1,29812;98241;0,9986423;37,386
50;98177;139;1,41733;98108;0,9985327;36,434
51;98038;149;1,51742;97964;0,9984078;35,485
52;97889;163;1,66706;97808;0,9982490;34,538
53;97726;179;1,83510;97636;0,9980286;33,595
54;97547;206;2,10785;97444;0,9977931;32,656
55;97341;224;2,30611;97229;0,9975756;31,723
56;97117;247;2,54294;96993;0,9973298;30,796
57;96870;271;2,79780;96734;0,9970706;29,873
58;96599;296;3,06136;96451;0,9967987;28,955
59;96303;322;3,34164;96142;0,9965020;28,043
60;95981;351;3,65482;95806;0,9961983;27,135
61;95630;378;3,94916;95442;0,9958965;26,233
62;95253;406;4,25849;95050;0,9954932;25,335
63;94847;451;4,75616;94622;0,9949553;24,441
64;94396;504;5,33464;94144;0,9944121;23,555
65;93892;549;5,84253;93618;0,9939649;22,679
66;93344;581;6,22876;93053;0,9935056;21,809
67;92762;627;6,76171;92449;0,9929159;20,943
68;92135;683;7,40869;91794;0,9921343;20,082
69;91453;761;8,32613;91072;0,9911842;19,228
70;90691;844;9,30952;90269;0,9901949;18,386
71;89847;926;10,30542;89384;0,9892878;17,554
72;88921;989;11,12325;88426;0,9883439;16,731
73;87932;1072;12,19497;87396;0,9871814;15,914
74;86860;1168;13,45002;86275;0,9859022;15,104
75;85691;1264;14,75441;85059;0,9842593;14,303
76;84427;1413;16,74169;83720;0,9819314;13,510
77;83014;1612;19,41801;82208;0,9791103;12,731
78;81402;1823;22,39047;80490;0,9757892;11,974
79;79579;2075;26,07279;78542;0,9718988;11,236
80;77504;2339;30,18386;76334;0,9674663;10,524
81;75165;2628;34,95665;73851;0,9624647;9,836
82;72537;2917;40,20741;71079;0,9570268;9,174
83;69621;3192;45,85482;68024;0,9506791;8,537
84;66428;3518;52,95351;64669;0,9430953;7,924
85;62911;3842;61,07681;60989;0,9342910;7,339
86;59068;4173;70,64246;56982;0,9240373;6,783
87;54896;4484;81,68729;52653;0,9123319;6,261
88;50411;4748;94,18096;48037;0,8996147;5,774
89;45663;4897;107,23476;43215;0,8846263;5,322
90;40767;5075;124,49034;38229;0,8679060;4,901
91;35692;5025;140,77882;33179;0,8529854;4,527
92;30667;4731;154,27200;28302;0,8406946;4,187
93;25936;4286;165,25692;23793;0,8280820;3,859
94;21650;3895;179,89770;19703;0,8109531;3,524
95;17755;3555;200,20301;15978;0,7818459;3,188
96;14200;3417;240,59871;12492;0,7466596;2,860
97;10784;2913;270,11899;9327;0,7175623;2,608
98;7871;2356;299,31548;6693;0,6889490;2,388
99;5515;1808;327,79961;4611;0,6607983;2,195
100;3707;1320;356,16401;3047;0,6326097;2,021
101;2387;919;384,82675;1928;0,6031786;1,863
102;1468;611;416,31942;1163;0,5718163;1,715
103;857;384;448,51049;665;0,5398911;1,582
104;473;227;481,13997;359;0,5076574;1,462
105;245;126;513,93358;182;0,4753774;1,354
106;119;65;546,61361;87;0,4433137;1,258
107;54;31;578,90299;38;0,4117220;1,171
108;23;14;610,54116;16;0,3808400;1,094
109;9;6;641,29012;6;0,3508830;1,025
110;3;2;670,93644;2;0,3220404;0,964
111;1;1;699,30232;1;0,2944684;0,909
112;0;0;726,24760;0;0,2682893;0,861
113;0;0;751,66690;0;0,2435936;0,818
114;0;0;775,49161;0;0,2204388;0,780
115;0;0;797,68799;0;0,1988515;0,746
116;0;0;818,25327;0;0,1788316;0,716
117;0;0;837,20764;0;0,1603576;0,690
118;0;0;854,59834;0;0,1433850;0,667
119;0;0;870,48469;0;0,1278573;0,646
