Tavole di mortalità della popolazione residente - Ripartizione: Nord - Maschi - Anno: 2014
Età;Sopravviventi;Decessi;Probabilità di morte (per mille);Anni vissuti;Probabilità prospettive di sopravvivenza;Speranza di vita
0;100000;290;2,90452;99727;0,9997127;80,726
1;99710;23;0,23087;99698;0,9997928;79,960
2;99687;18;0,18343;99677;0,9998361;78,978
3;99668;14;0,14443;99661;0,9998706;77,993
4;99654;11;0,11427;99648;0,9998959;77,004
5;99642;9;0,09395;99638;0,9999095;76,013
6;99633;9;0,08700;99629;0,9999170;75,020
7;99624;8;0,07905;99620;0,9999216;74,026
8;99617;8;0,07779;99613;0,9999223;73,032
9;99609;8;0,07753;99605;0,9999237;72,038
10;99601;7;0,07497;99597;0,9999227;71,043
11;99594;8;0,07958;99590;0,9999150;70,048
12;99586;9;0,09039;99581;0,9998997;69,054
13;99577;11;0,11025;99571;0,9998753;68,060
14;99566;14;0,13925;99559;0,9998395;67,068
15;99552;18;0,18177;99543;0,9997936;66,077
16;99534;23;0,23101;99522;0,9997424;65,089
17;99511;28;0,28415;99497;0,9996929;64,104
18;99482;33;0,33006;99466;0,9996523;63,122
19;99450;36;0,36527;99431;0,9996217;62,143
20;99413;39;0,39130;99394;0,9996000;61,165
21;99374;41;0,40868;99354;0,9995821;60,189
22;99334;42;0,42705;99313;0,9995572;59,213
23;99291;46;0,45847;99269;0,9995302;58,238
24;99246;48;0,48118;99222;0,9995119;57,265
25;99198;49;0,49502;99174;0,9995050;56,292
26;99149;49;0,49503;99124;0,9995165;55,320
27;99100;47;0,47188;99077;0,9995358;54,347
28;99053;45;0,45643;99031;0,9995406;53,372
29;99008;46;0,46237;98985;0,9995331;52,396
30;98962;47;0,47137;98939;0,9995072;51,420
31;98916;51;0,51420;98890;0,9994667;50,444
32;98865;55;0,55250;98837;0,9994318;49,470
33;98810;58;0,58399;98781;0,9993869;48,497
34;98752;63;0,64217;98721;0,9993529;47,525
35;98689;64;0,65196;98657;0,9993250;46,555
36;98625;69;0,69811;98590;0,9992826;45,586
37;98556;73;0,73671;98519;0,9992344;44,617
38;98483;78;0,79459;98444;0,9991964;43,650
39;98405;80;0,81259;98365;0,9991600;42,684
40;98325;85;0,86734;98282;0,9991041;41,718
41;98240;91;0,92446;98194;0,9990250;40,754
42;98149;101;1,02566;98098;0,9989178;39,791
43;98048;112;1,13875;97992;0,9987907;38,832
44;97936;125;1,27988;97874;0,9986511;37,875
45;97811;139;1,41796;97742;0,9984980;36,923
46;97672;155;1,58624;97595;0,9983164;35,975
47;97518;174;1,78113;97431;0,9981083;35,031
48;97344;195;2,00241;97246;0,9979022;34,093
49;97149;213;2,19339;97042;0,9977084;33,160
50;96936;232;2,39004;96820;0,9974901;32,232
51;96704;254;2,63000;96577;0,9972060;31,308
52;96450;285;2,95837;96307;0,9969031;30,389
53;96164;311;3,23576;96009;0,9966229;29,478
54;95853;337;3,51884;95685;0,9963065;28,572
55;95516;370;3,86872;95331;0,9959520;27,671
56;95146;402;4,22804;94945;0,9955184;26,777
57;94744;449;4,73629;94520;0,9949871;25,888
58;94295;499;5,29088;94046;0,9944209;25,009
59;93797;550;5,86883;93521;0,9938437;24,139
60;93246;601;6,44540;92946;0,9931371;23,279
